time,rocket.accel_setpoint_smooth.p,rocket.accel_setpoint_smooth.y
2026-03-27T20:29:43.274666,0.0,0.0
2026-03-27T20:29:43.278043,0.0,0.0
2026-03-27T20:29:43.286376,0.0,0.0
2026-03-27T20:29:43.294709,0.0,0.0
2026-03-27T20:29:43.303042,0.0,0.0
2026-03-27T20:29:43.311375,0.0,0.0
2026-03-27T20:29:43.319708,0.0,0.0
2026-03-27T20:29:43.328041,0.0,0.0
2026-03-27T20:29:43.336374,0.0,0.0
2026-03-27T20:29:43.344707,0.0,0.0
2026-03-27T20:29:43.353040,0.0,0.0
2026-03-27T20:29:43.361373,0.0,0.0
2026-03-27T20:29:43.369706,0.0,0.0
2026-03-27T20:29:43.378039,0.0,0.0
2026-03-27T20:29:43.386372,0.0,0.0
2026-03-27T20:29:43.394705,0.0,0.0
2026-03-27T20:29:43.403038,0.0,0.0
2026-03-27T20:29:43.411371,0.0,0.0
2026-03-27T20:29:43.419704,0.0,0.0
2026-03-27T20:29:43.428037,0.0,0.0
2026-03-27T20:29:43.436370,0.0,0.0
2026-03-27T20:29:43.444703,0.0,0.0
2026-03-27T20:29:43.453036,0.0,0.0
2026-03-27T20:29:43.461369,0.0,0.0
2026-03-27T20:29:43.469702,0.0,0.0
2026-03-27T20:29:43.478035,0.0,0.0
2026-03-27T20:29:43.486368,0.0,0.0
2026-03-27T20:29:43.494701,0.0,0.0
2026-03-27T20:29:43.503034,0.0,0.0
2026-03-27T20:29:43.511367,0.0,0.0
2026-03-27T20:29:43.519700,0.0,0.0
2026-03-27T20:29:43.528033,0.0,0.0
2026-03-27T20:29:43.536366,0.0,0.0
2026-03-27T20:29:43.544699,0.0,0.0
2026-03-27T20:29:43.553032,0.0,0.0
2026-03-27T20:29:43.561365,0.0,0.0
2026-03-27T20:29:43.569698,0.0,0.0
2026-03-27T20:29:43.578031,0.0,0.0
2026-03-27T20:29:43.586364,0.0,0.0
2026-03-27T20:29:43.594697,0.0,0.0
2026-03-27T20:29:43.603030,0.0,0.0
2026-03-27T20:29:43.611363,0.0,0.0
2026-03-27T20:29:43.619696,0.0,0.0
2026-03-27T20:29:43.628029,0.0,0.0
2026-03-27T20:29:43.636362,0.0,0.0
2026-03-27T20:29:43.644695,0.0,0.0
2026-03-27T20:29:43.653028,0.0,0.0
2026-03-27T20:29:43.661361,0.0,0.0
2026-03-27T20:29:43.669694,0.0,0.0
2026-03-27T20:29:43.678027,0.0,0.0
2026-03-27T20:29:43.686360,0.0,0.0
2026-03-27T20:29:43.694693,0.0,0.0
2026-03-27T20:29:43.703026,0.0,0.0
2026-03-27T20:29:43.711359,0.0,0.0
2026-03-27T20:29:43.719692,0.0,0.0
2026-03-27T20:29:43.728025,0.0,0.0
2026-03-27T20:29:43.736358,0.0,0.0
2026-03-27T20:29:43.744691,0.0,0.0
2026-03-27T20:29:43.753024,0.0,0.0
2026-03-27T20:29:43.761357,0.0,0.0
2026-03-27T20:29:43.769690,0.0,0.0
2026-03-27T20:29:43.778023,0.0,0.0
2026-03-27T20:29:43.786356,0.0,0.0
2026-03-27T20:29:43.794689,0.0,0.0
2026-03-27T20:29:43.803022,0.0,0.0
2026-03-27T20:29:43.811355,0.0,0.0
2026-03-27T20:29:43.819688,0.0,0.0
2026-03-27T20:29:43.828021,0.0,0.0
2026-03-27T20:29:43.836354,0.0,0.0
2026-03-27T20:29:43.844687,0.0,0.0
2026-03-27T20:29:43.853020,0.0,0.0
2026-03-27T20:29:43.861353,0.0,0.0
2026-03-27T20:29:43.869686,0.0,0.0
2026-03-27T20:29:43.878019,0.0,0.0
2026-03-27T20:29:43.886352,0.0,0.0
2026-03-27T20:29:43.894685,0.0,0.0
2026-03-27T20:29:43.903018,0.0,0.0
2026-03-27T20:29:43.911351,0.0,0.0
2026-03-27T20:29:43.919684,0.0,0.0
2026-03-27T20:29:43.928017,0.0,0.0
2026-03-27T20:29:43.936350,0.0,0.0
2026-03-27T20:29:43.944683,0.0,0.0
2026-03-27T20:29:43.953016,0.0,0.0
2026-03-27T20:29:43.961349,0.0,0.0
2026-03-27T20:29:43.969682,0.0,0.0
2026-03-27T20:29:43.978015,0.0,0.0
2026-03-27T20:29:43.986348,0.0,0.0
2026-03-27T20:29:43.994681,0.0,0.0
2026-03-27T20:29:44.003014,0.0,0.0
2026-03-27T20:29:44.011347,0.0,0.0
2026-03-27T20:29:44.019680,0.0,0.0
2026-03-27T20:29:44.028013,0.0,0.0
2026-03-27T20:29:44.036346,0.0,0.0
2026-03-27T20:29:44.044679,0.0,0.0
2026-03-27T20:29:44.053012,0.0,0.0
2026-03-27T20:29:44.061345,0.0,0.0
2026-03-27T20:29:44.069678,0.0,0.0
2026-03-27T20:29:44.078011,0.0,0.0
2026-03-27T20:29:44.086344,0.0,0.0
2026-03-27T20:29:44.094677,0.0,0.0
2026-03-27T20:29:44.103010,0.0,0.0
